product_no,product_name,ingredients,category
343,B.Parfe Fındıklı&Yaban Mersinli Vegan Tatlı,,Süt Ürünleri
344,Baby Turco Islak Havlu,,Bebek Ürünleri
345,Baby Turco Beyaz Sabun Islak Havlu,,Bebek Ürünleri
346,Baby Turco Doğadan Fırsat Paket Külot Bebek Bezi Maxi,,Bebek Ürünleri
347,Baby Turco Ultra Junior 5 Beden,,Bebek Ürünleri
348,Baby Turco Ultra XL 6 Beden 64'lü,,Bebek Ürünleri
349,Baby Turco Zeytinyağlı Islak Havlu,,Bebek Ürünleri
350,Babyjem Bakım Seti Gri,,Bebek Ürünleri
351,Babyjem Biberon Emzik Temizleme Fırçası Gri,,Bebek Ürünleri
352,Babyjem Burun Aspiratörü,,Bebek Ürünleri
353,Babyjem Çıngırak Dişlik,,Bebek Ürünleri
354,Babyjem Diş Kaşıyıcı Kaktüs Gri,,Bebek Ürünleri
355,Babyjem Diş Kaşıyıcı Kaktüs Yeşil,,Bebek Ürünleri
356,Babyjem KatlıToz Mama Kabı Beyaz,,Bebek Ürünleri
357,Babyjem Kolay Kavrama Çıtçıt Tırnak Makası Gri,,Bebek Ürünleri
358,Babyjem Mama Kaşık Çatal Takımı Turuncu,,Bebek Ürünleri
359,Babyjem Mini Silikon Önlük Gri,,Bebek Ürünleri
360,Babyjem Önden Açılır Kaydırmaz Oturak Beyaz,,Bebek Ürünleri
361,Babyjem Paslanmaz Çelik Çatal Kaşık Seti Somon,,Bebek Ürünleri
362,Babyjem Sıkmalı Kaşık Gri,,Bebek Ürünleri
363,Babyjem Silikon Beslenme Seti Mint,,Bebek Ürünleri
364,Babyjem Silikon Kaşık Gri,,Bebek Ürünleri
365,Babyjem Silikon Tabak Gri,,Bebek Ürünleri
366,Babyjem Silikon Uçlu Meyve&Sebze Emziği Turuncu,,Bebek Ürünleri
367,Babyjem Yedek Filtre,,Bebek Ürünleri
368,Bağdat Acı Kırmızı Biber,Kırmızı Toz Acı Biber,Temel Gıda
369,Bağdat Akdeniz Makarna Ve Pizza Çeşnisi,"Karabiber Tane, Kırmızı Biber Tane, Kimyon, Pul Biber, Fesleğen, Öğütme Tuzu, Beyaz Biber Tana, Kişniş",Temel Gıda
370,Bağdat Baharat Kırmızı Toz Tatlı Biber,Tatlı Toz Biber,Temel Gıda
371,Bağdat Balık Çeşnisi Değirmen,"Tuz, Sumak, Limon Kabuğu, Sarımsak Granül, Kekik, Defne Yaprağı, Limon, Tuz",Temel Gıda
372,Bağdat Biberiye,,Temel Gıda
373,Bağdat Cajun,"Tuz, Değişen Miktarlarda Baharatlar (tatlı Toz Biber, Kekik, Zahter, Yenibahar Toz, Kişniş, Kimyon, Karabiber, Kereviz, Soğan, Sarımsak, Zerdeçal",Temel Gıda
374,Bağdat Çiğ Köfte Seti,,Temel Gıda
375,Bağdat Çıtır Pane Harcı,"Galeta Unu (buğday, Mısır Gevreği, Nişasta, Buğday Unu, Tuz, Soğan Toz, Kereviz Toz, Zencefil, Zerdeçal, Sarımsak Toz, Pul Biber, Acı Toz Biber, Karabiber Toz",Temel Gıda
376,Bağdat Çörekotu,Çörek Otu,Temel Gıda
377,Bağdat Değirmen Karışık Biber,Karabiber Tane,Temel Gıda
378,Bağdat Dolmalık Fıstık,,Temel Gıda
379,Bağdat Ekstra Acı Pul Biber,,Temel Gıda
380,Bağdat Et Çeşnisi Değirmen,"Karabiber, Kişniş, Biberiye, Tuz, Pul Biber, Hardal Tohumu, Sarımsak Granül, Kekik",Temel Gıda
381,Bağdat Fajıta,,Temel Gıda
382,Bağdat Fesleğen,"Fesleğen, Basil, Basilkum",Temel Gıda
383,Bağdat Galeta Unu,"Buğday Unu(gluten Içerir, Yemeklik Tuz, Hamur Mayası, Su Ve Bitkisel Sıvı Yağ",Temel Gıda
384,Bağdat Garam Masala,,Temel Gıda
385,Bağdat Himalaya Tuzu Değirmen,Himalaya Tuzu,Temel Gıda
386,Bağdat Hindistan Cevizi,Hindistan Cevizi,Temel Gıda
387,Bağdat Hindistan Cevizi Ekonomik Poşet,Hindistan Cevizi,Temel Gıda
388,Bağdat İsot Biber,"İsot Biber (acı Kırmızı Pul Biber, Tuz, Bitkisel Sıvı Yağ",Temel Gıda
389,Bağdat Izgara Harcı,"Tatlı Kırmızı Biber, Köri, Kekik, Mercanköşk, Tuz, Fesleğen, Nane, Soğan, Biberiye, Galeta Unu (buğday, Beyaz Biber",Temel Gıda
390,Bağdat Kabuk Tarçın,Kabuk Tarçın,Temel Gıda
391,Bağdat Kahvaltılık Poy Yedi Türlü,"Kırmızı Toz Tatlı Biber, Poy Otu, Kişniş, Nane, Kekik, Acı Kırmızı Pul Biber, Çemen Unu, Tuz",Temel Gıda
392,Bağdat Kajun Baharatı,,Temel Gıda
393,Bağdat Karabiber,,Temel Gıda
394,Bağdat Karabiber Tuzluklu Cam,Öğütülmüş Karabiber,Temel Gıda
395,Bağdat Karanfil,Karanfil,Temel Gıda
396,Bağdat Karbonat,Sodyum Bikarbonat,Temel Gıda
397,Bağdat Kekik,Kekik,Temel Gıda
398,Bağdat Kekik Ekonomik Poşet,Kekik,Temel Gıda
399,Bağdat Kimyon,Toz Kimyon,Temel Gıda
400,Bağdat Kimyon Tuzluklu Cam,Kimyon Öğütülmüş,Temel Gıda
401,Bağdat Kişniş Tane Tuzluklu Cam,,Temel Gıda
402,Bağdat Köfte Baharı,"Kimyon, Kişniş, Tatlı Biber, Tuz, Sarımsak Toz, Karabiber, Buğday Unu, Acı Biber, Yenibahar Toz, Karbonat, Zerdeçal, Köri",Temel Gıda
403,Bağdat Köfte Harcı,"Galeta Unu (buğday, Tuz, Pul Biber, Karabiber, Kimyon, Yenibahar Toz, Soğan Granül, Sarımsak Toz, Toz Şeker, Kekik, Acı Biber Köri, Zerdeçal, Tatlı Kırmızı Biber, Aroma Verici Sebze Ve Baharat Karışımları (kereviz",Temel Gıda
404,Bağdat Kolay Etsiz Çiğ Köfte Karışımı,"Esmer Bulgur, Isot Biber, Tuz, Kimyon, Pul Biber, Karabiber, Sarımsak, Fesleğen, Reyhan, Maydanoz",Temel Gıda
405,Bağdat Limon Tuzu Ekonomik Poşet,,Temel Gıda
406,Bağdat Mahlep,Mahlep,Temel Gıda
407,Bağdat Mavi Haşhaş,Mavi Haşhaş Tohumu,Temel Gıda
408,Bağdat Mısır Unu Eko Poşet,Mısır Unu,Temel Gıda
409,Bağdat Nane,Kuru Nane,Temel Gıda
410,Bağdat Nane Ekonomik Poşet,Kuru Nane,Temel Gıda
411,Bağdat Piliç Baharatı,"Tuz, Tatlı Toz Biber, Köri, Kişniş, Nişasta, Sarımsak Toz, Mısır Gevreği, Galeta Unu, Soğan Toz, Pul Biber, Karabiber, Biberiye, Maydanoz, Kekik, Kimyon, Zencefil, Zerdeçal",Temel Gıda
412,Bağdat Pul Biber,Pul Biber,Temel Gıda
413,Bağdat Pulbiber Ekonomik Poşet,"Acı Kırmızı Pul Biber, Tuz, Bitkisel Sıvı Yağ",Temel Gıda
414,Bağdat Sarımsaklı Himalaya Tuzu,"Himalaya Tuzu, Sarımsak Granül",Temel Gıda
415,Bağdat Sebzeli Çeşni,"Tuz, Soğan Granül, Kırmızı Biber Granül(tatlı Biber, Havıç Granül, Maydanoz, Kereviz Yaprak, Aroma Arttırıcı/monosodyum Glutamat (E621, Sarımsak Granül, Renklendirici(riboflavin, Karabiber Beyaz, Pırasa Granül",Temel Gıda
416,Bağdat Soğan Toz Tuzluklu Cam,Soğan Toz,Temel Gıda
417,Bağdat Sumak,"Sumak, Tuz",Temel Gıda
418,Bağdat Susam,Susam Tohumu,Temel Gıda
419,Bağdat Taco,"Buğday Unu (gluten, Tuz, Değişen Miktarlarda Baharatlar(tatlı Toz Biber, Kekik, Kimyon, Soğan Toz",Temel Gıda
420,Bağdat Tarçın,Tarçın,Temel Gıda
421,Bağdat Tarçın Cam,Tarçın Öğütülmüş,Temel Gıda
422,Bağdat Tatlı Biber Tuzluklu Cam,,Temel Gıda
423,Bağdat Tatlı Kırmızı Biber,Kırmızı Toz Tatlı Biber,Temel Gıda
424,Bağdat Tavuk Çeşnisi Değirmen,"Pul Biber, Karabiber, Tuz, Hardal Tohumu, Kişniş, Sarımsak Granül, Limon Kabuğu, Havuç Granül, Kekik, Tatlı Biber",Temel Gıda
425,Bağdat Tuz Değirmeni,Öğütme Tuzu,Temel Gıda
426,Bağdat Zencefil,,Temel Gıda
427,Bağdat Zerdeçal,Zerdeçal,Temel Gıda
428,Bağdat Zerdeçal Tuzluklu Cam,Zerdeçal,Temel Gıda
429,Baget Ekmek,"Buğday Unu, İçme Suyu, Maya(saccharomyces Cerevisiae, Tuz, Ekmek Enzimi((buğday Unu, Enzim(hemiselüloz, Alfa Amilaz, Lipaz",Fırın
430,Bahar Hindi Konserve Tantuni,"Hindi Eti, Kapya Biber, Soğan, Kurutulmuş Domates, Natürel Sızma Zeytinyağı, Soya Sosu, Fesleğen, Su",Hazır Yemek&Donuk Ürünler
431,Bahar Hindi Pişmiş Fileto x 2,"Hindi Fileto Eti, Hindi Eti Suyu, Zeytinyağı, Tuz, Baharat Karışımı",Hazır Yemek&Donuk Ürünler
432,Bahar Hindi Tandır,"Hindi But Eti, Hindi Eti Suyu, Zeytinyağı, Tuz, Baharat Karışımı",Hazır Yemek&Donuk Ürünler
433,Bahar Konserve Pişmiş Hindi Fileto,"Hindi Fileto Eti, Hindi Eti Suyu, Zeytinyağı, Tuz, Baharat Karışımı",Hazır Yemek&Donuk Ürünler
434,Baharatlı Somon Füme,,"Et, Tavuk, Balık"
435,Bahçeden Çifte Kavrulmuş Leblebi,Leblebi,Atıştırmalık
436,Bahçeden Çiğ Badem,Çiğ İç Tatlı Badem,Atıştırmalık
437,Bahçeden Cranberry,"Cranberry (kurutulmuş Cranberry (turna Yemişi, Elma Suyu Konsantresi, Bitkisel Yağ (ayçiçek Yağı",Atıştırmalık
438,Bahçeden Gün Kurusu,Gün Kurusu,Atıştırmalık
439,Bahçeden Hurma,Hurma,Atıştırmalık
440,Bahçeden Kavrulmuş Antep Fıstığı,"Kabuklu Antep Fıstığı, Tuz",Atıştırmalık
441,Bahçeden Kavrulmuş Badem,"Kavrulmuş İç Badem, Tuz, Stabilizör: Gam Arabik E-414, Asitliği Düzenleyici: Sitrik Asit E-330",Atıştırmalık
442,Bahçeden Kavrulmuş Fındık,Fındık,Atıştırmalık
443,Bahçeden Kavrulmuş Siirt Fıstığı,"Kabuklu Siirt Fıstığı, Tuz",Atıştırmalık
444,Bahçeden Kuru Erik,Kuru Erik,Atıştırmalık
445,Bahçeden Kuru Kayısı,Kuru Kayısı,Atıştırmalık
446,Bahçıvan Çeçil Peyniri,"Pastörize Edilmiş Inek Sütü (laktoz Içerir, Tuz, Starter Kültür, Peynir Mayası",Süt Ürünleri
447,Bahçıvan Dil Peyniri,"Pastörize Edilmiş Inek Sütü (laktoz Içerir, Tuz, Starter Kültür, Peynir Mayası",Süt Ürünleri
448,Bahçıvan Grana Padano Parmesan Peyniri,"İnek Sütü, Tuz, Peynir Kültürü, Peynir Mayası, Koruyucu(lisozim(yumurta",Süt Ürünleri
449,Bahçıvan Gurme Beyaz Peynir,"Pastörize Inek Sütü, Tuz, Peynir Kültürü, Kalisyum Klorür, Peynir Mayası, Koruyucu(potasyum Sorbat",Süt Ürünleri
450,Bahçıvan Hellim Peyniri,"Pastörize Inek, Koyun Ve Keçi Sütü, Tuz, Peynir Mayası",Süt Ürünleri
451,Bahçıvan Krem Peynir,"Peynir(süt Ürünü, Tereyağı(süt Ürünü, Süt Proteinleri(süt Ürünü, Emülsifiye Edici Tuzlar (disodyum Fosfar, Trisodyum Sitrat, Sodyum Polifosfat, Koruyucu (potasyum Sorbat",Süt Ürünleri
452,Bahçıvan Laktozsuz Labne,"Pastörize Inek Sütü, Pastörize Inek Sütü Kreması, Tuz, Laktaz Enzimi, Kıvam Arttırıcı(sodyum Aljinat, Yoğurt Kültürü",Süt Ürünleri
453,Bahçıvan Örgü Peyniri,"Pastörize Edilmiş Inek Sütü (laktoz Içerir, Tuz, Starter Kültür, Peynir Mayası",Süt Ürünleri
454,Bahçivan Rende Mozzarella Peyniri,"Pastörize Inek Sütü, Tuz, Peynir Kültürü, Peynir Mayası, Koruyucu(potasyum Sorbat",Süt Ürünleri
455,Bahçıvan Suda Top Mozzarella Peyniri,"Pastörize Edilmiş Inek Sütü (laktoz Içerir, Starter Kültür, Peynir Mayası",Süt Ürünleri
456,Bahçıvan Süzme Peynir,"Patörize Inek Sütü, Tuz, Peynir Kültürü, Peynir Mayası",Süt Ürünleri
457,Bahçıvan Tam Yağlı Taze Beyaz Peynir,"Pastörize Edilmiş Inek Sütü, Tuz, Peynir Kültürü, Peynir Mayası, Stabilizör (kalsiyum Klorür, Koruyucu (potasyum Sorbat",Süt Ürünleri
458,Bahçıvan Taze Kaşar Peyniri,"PASTÖRİZE İNEK SÜTÜ, TUZ, PEYNİR KÜLTÜRÜ, PEYNİR MAYASI, KORUYUCU(POTASYUM SORBAT",Süt Ürünleri
459,Bahçıvan Tost Peyniri,"Pastörize Inek Sütü, Tuz, Starter Kültür, Peynir Mayası, Emülsifiye Edici Tuzlar (disodyum Fosfat, Trisodyum Sitrat, Sodyum Polifosfat, Koruyucu (potasyum Sorbat",Süt Ürünleri
460,Bahçıvan Yarım Yağlı Laktozsuz Süzme Peynir,"Pastörize Edilmiş Inek Sütü, Tuz, Peynir Kültürü, Peynir Mayası, Laktaz Enzimi, Koruyucu(potasyum Sorbat",Süt Ürünleri
461,Bahlsen Pick Up Original Bisküvi,"Sütlü Çikolata (%45) : [şeker, Tam Yağlı Süt Tozu, Kakao Yağı, Kakao Kitlesi, Emülgatör: Ayçiçeği Lesitini (E322, Aroma Verici: Doğal Vanilya Aroması, Buğday Unu, Şeker, Palm Yağı, Glukoz Şurubu (buğday, Yağsız Süt Tozu, Tereya",Atıştırmalık
462,Balacco Wafers Kakaolu,,Atıştırmalık
463,Balacco Wafers Vanilya,,Atıştırmalık
464,Balance&Nature Konjac Çin Eriştesi,"Su, Konyak Unu (%3, Asitlik Düzenleyici: E330",Temel Gıda
465,Balanu Düşük Şekerli Badem Kurabiye Tarçın,"ALTIN ŞURUP (SU, İzomalt, Zeytin Yağı, Badem Unu, BADEM(%16, 80, Hindistan Cevizi, Keten Tohumu, KABARTMA TOZU, Tarçın. ESER MİKTARDA KAJU, YER FISTIĞI VE CEVİZ İÇEREBİLİR",Sağlıklı Yaşam
466,Balanu Fudge Antepfıstık Vişne Dolgulu&Bademli,"HURMA PÜRESİ, TAHİN, KAVRULMUŞ SUSAM, GLÜTENSİZ KAVRULMUŞ YULAF EZMESİ, 5, HİNDİSTAN CEVİZİ RENDE(%3, 5, ELMA KONSANTRESİ, BADEM, GLÜTENSİZ YULAF UNU, KAKAO TOZU, KEÇİBOYNUZU PEKM",Sağlıklı Yaşam
467,Balanu Fudge Kakao Dolgulu&Fındıklı,"HURMA PÜRESİ, TAHİN, KAVRULMUŞ SUSAM, HİNDİSTAN CEVİZİ RENDESİ (%7, GLÜTENSİZ KAVRULMUŞ YULAF EZMESİ, KAKAO TOZU, 5, FINDIK(%3, GLÜTENSİZ YULAF UNU, KEÇİBOYNUZU PEKMEZİ, TUZ, HİNDİBA KÖKÜ LİFİ, EMÜLGATÖR(AYÇİÇEK LESİTİN",Sağlıklı Yaşam
468,Balanu Fudge Tarçınlı&Bademli,"HURMA PÜRESİ, KURU ÜZÜM, BADEM(%19, GLUTENSİZ ÖĞÜTÜLMÜŞ YULAF EZMESİ, VİŞNE KONSANTRESİ, SUSAM, TARÇIN(%1, 5, TUZ, HİNDİBA KÖKÜ LİFİ, EMÜLGATÖR(AYÇİÇEK LESİTİNİ, ASİTLİK DÜZENLEYİCİ (SİTRİK ASİT, ANTIOKSİDAN (ALFA-TOKO",Sağlıklı Yaşam
469,Balanu Glutensiz Granola Kabak Çekirdeği&Tarçın,"Glutensiz Yulaf Ezmesi (%27, Badem (%12, 3, Susam, İzomalt (E953, Kabak Çekirdeği (%7, Soya Konsantresi, Keten Tohumu, Kurutulmuş Elma, Kuru Üzüm, Zeytinyağı, Portakal Kabuğu Tozu, Tarçın (%0, 9, Bitkisel Lif, Zencefil, Karab",Sağlıklı Yaşam
470,Balanu Glutensiz Keto Granola Hindistan Cevizi,"İzomalt, Hindistan Cevizi Rendesi, Badem(%21, 51, Kabak Çekirdeği, Ayçekirdeği, Susam, Keten Tohumu, Chia Tohumu, Badem Unu(%5, 38, Zeytinyağı, Soya Konsantresi, Bitkisel Lif ESER MİKTARDA YER FISTIĞI, KAJU Ve ANTEPFISTIĞI Içe",Sağlıklı Yaşam
471,Balanu Meyveli Protein Topları Çilekli,"HURMA PÜRESİ (%40, 6, TAHİN, PROTEİN TOZU (PİRİNÇ PROTEİN TOZU) (%9, KAVRULMUŞ SUSAM, CHİA TOHUMU (%7, ÇİLEK KONSANTRESİ (%6, 6, GLÜT ENSİZ KAVRULMUŞ YULAF EZMESİ, VİŞNE KONSANTRESİ, BADEM (%3, KAKAO TOZU, KEÇİBOYNUZU PEKMEZİ, TUZ",Sağlıklı Yaşam
472,Balanu Meyveli Protein Topları Kakao,"HURMA PÜRESİ (%40, 2, TAHİN, PROTEİN TOZU (PİRİNÇ PROTEİN TOZU) (%9, 1, KAVRULMUŞ SUSAM, HİNDİSTAN CEVİZİ RENDE (%7, GLÜTENSİZ KAVRULMUŞ YULAF EZMESİ, KAKAO TOZU (%2, 4, FINDIK (%3, KEÇİBOYNUZU PEKMEZİ, TUZ, KIVAM ARTTIRICI (PEKTİN",Sağlıklı Yaşam
473,Balanu Protein Bar Kayısı&Bademli,"Hurma Püresi, Leblebi, Badem (%9, Kuru Kayısı (%9, Keten Tohumu, Nar Konsantresi, Yulaf Ezmesi, Nohut Unu, Protein Tozu (pirinç Protein Tozu, Elma Konsantresi, Tahin, Antioksidan (alfa-tokoferol, Hindiba Kökü Lifi, Zencefil, Tuz",Sağlıklı Yaşam
474,Balanu Protein Bar Vişne&Kakaolu,"Hurma Püresi, Kabak Çekirdeği, Kavrulmuş Nohut, Nohut Unu, Tahin, Vişne Konsantresi (%4, 8, Protein Tozu (pirinç Protein Tozu, Kuru Kayısı, Badem, İncir, Yulaf Ezmesi, Kakao Tozu (%1, 9, Antioksidan (Alfa) -tokoferol, Tuz, Hindi",Sağlıklı Yaşam
475,Balanu Protein Kolajen Bar Narlı&Bademli,"Hurma Püresi, Elma Konsantresi, Tahin, Kolajen (%9, Badem (%8, Nohut Tozu, Leblebi, Protein Tozu (pirinç Protein Tozu, Kuru Kayısı, Yulaf Ezmesi (%4, Rendelenmiş Hindistan Cevizi, Nar Konsantresi (%2, Kakao Tozu, C Vitamini (%0, 12",Sağlıklı Yaşam
476,Balık Dünyası Deniz Ürünleri Salatası,"Haşlanmış Jumbo Et Karides, Ahtapot, Sübye, Mosko, Midye, Kalamar, Mısır, Yeşil Zeytin, Kırmızı Biber, Tuz, Su, Sirke, Baharat, Sitrik Asit, Sodyum Benzoat","Et, Tavuk, Balık"
477,Balık Dünyası Dondulmuş Hamsi,TR10-1269,"Et, Tavuk, Balık"
478,Balık Dünyası Et Karides,,"Et, Tavuk, Balık"
479,Balık Dünyası Et Karides,,"Et, Tavuk, Balık"
480,Balık Dünyası Et Midye,,"Et, Tavuk, Balık"
481,Balık Dünyası Et Midye,,"Et, Tavuk, Balık"
482,Balık Dünyası Fish Finger,,"Et, Tavuk, Balık"
483,Balık Dünyası GüveçKarides,"Et Karides (penaeus vannamei)(%37, Tereyağı(%4, Ayçiçek Yağı (%6, Mantar, Yeşil Biber, Kapya Biber, Domates, Sarımsak, Domates Salçası, Baharat, Tuz","Et, Tavuk, Balık"
484,Balık Dünyası GüveçKarides,,"Et, Tavuk, Balık"
485,Balık Dünyası Halka Kalamar,,"Et, Tavuk, Balık"
486,Balık Dünyası Halka Kalamar,,"Et, Tavuk, Balık"
487,Balık Dünyası Haşlanmış Ahtapot,"Temizlenmiş, Dondurulmuş Ve Haşlanmış Ahtapot Eti (octopus Vulgaris) (%70, Su (glaze Oranı %30","Et, Tavuk, Balık"
488,Balık DünyasıKarides Cızlama,"Jumbo Et Karides (penaeus Vannamei, 74, Tereyağ (%20, Sarımsak, Tuz, Baharat, Ayçiçek Yağı (%3","Et, Tavuk, Balık"
489,Balık DünyasıKarides Şiş,"Temizlenmiş, Soyulmuş, Şişlere Geçirilmiş Ve Dondurulmuş Jumbo Karides Eti (penaeus Vannamei) (%80, Su (glaze Oranı %20","Et, Tavuk, Balık"
490,Balık Dünyası Karides Söğüş,,"Et, Tavuk, Balık"
491,Balık Dünyası Marine Ahtapot,"Haşlanmış Ahtapot (octopus Vulgaris, Tuz, Sirke, Baharat, Sitrik Asit, Sodyum Benzoat","Et, Tavuk, Balık"
492,Balık Dünyası PaneKarides,"Jumbo Karides Eti (penaeus Vannamei, Kaplama Malzemesi (buğday Unu, Yumurta, Su, Tuz, Maya, Baharat","Et, Tavuk, Balık"
493,Balık Dünyası Pane Kalamar Tava,"Halka Kalamar (todarodes Pacificus, Kaplama Malzemesi (buğday Unu, Yumurta, Su, Tuz, Maya, Baharat","Et, Tavuk, Balık"
494,Balık Dünyası Pane Midye Tava,"Midye Eti (mytilus Chilensis, Kaplama Malzemesi (buğday Unu, Yumurta, Su, Tuz, Maya, Baharat","Et, Tavuk, Balık"
495,Balık Dünyası Panga Fileto,,"Et, Tavuk, Balık"
496,Balık Dünyası Uskumru Fileto,,"Et, Tavuk, Balık"
497,Balık Dünyası Yengeç Aromalı Surumi,,"Et, Tavuk, Balık"
498,Balık Dünyası Yerli Türk Somonu Dilim,,"Et, Tavuk, Balık"
499,Balküpü Küp Şeker,100 Pancar Şekeridir,Temel Gıda
500,Balküpü Sarma Küp Şeker,,Temel Gıda
501,Balküpü Toz Şeker,100 Pancar Şekeridir,Temel Gıda
502,Balküpü Toz Şeker,100 Pancar Şekeridir,Temel Gıda
503,Balküpü Toz Şeker,100 Pancar Şekeridir,Temel Gıda
504,Balparmak Apitera Propolis+Bal X 7,"Bal (%90, Propolis",Kahvaltılık Ürünler
505,Balparmak Apitera Up 7x7,"21 Gr Için): Bal(19.5 G, Muz Püresi, Kırmızı Ginseng (PanaxGinseng) Kök Ekstresi (210 Mg, Guarana (paulinia Cupana)tohumu Ekstresi(147 Mg, Zencefil(126 Mg, Propolis Ekstresi (105 Mg",Kahvaltılık Ürünler
506,Balparmak Ballımix Fındık Ezmesi,"Bal(%60, Fındık(%21, Bitkisel Yağ (fındık, Ayçiçek, Yağsız Süt Tozu, Doğal Aroma Verici (vanilya",Kahvaltılık Ürünler
507,Balparmak Ballımix Fınıdıklı Tüp,,Kahvaltılık Ürünler
508,Balparmak Ballımix Kakaolu Fındık Ezmesi,"Bal (%55, Fındık (%15, Bitkisel Yağ (fındık, Yağsız Süt Tozu, Tam Yağlı Süt Tozu, Yağı Azaltılmış Kakao Tozu (%5",Kahvaltılık Ürünler
509,Balparmak Ballımix Kakaolu Tüp,,Kahvaltılık Ürünler
510,Balparmak Çam Balı,,Kahvaltılık Ürünler
511,Balparmak Çam Balı Çıt Kapak,,Kahvaltılık Ürünler
512,Balparmak Çiçek Balı Tüp,Süzme Çiçek Balı,Kahvaltılık Ürünler
513,Balparmak Çiçek Balı Tüp,Süzme Çiçek Balı,Kahvaltılık Ürünler
514,Balparmak Çıtkapak Çam Bal,,Kahvaltılık Ürünler
515,Balparmak Çıtkapak Yayla Çiçek Balı,Süzme Çiçek Balı,Kahvaltılık Ürünler
516,Balparmak Çıtkapak Yayla Çiçek Balı,Süzme Çiçek Balı,Kahvaltılık Ürünler
517,Balparmak Katlaballa Çiçek Balı,,Kahvaltılık Ürünler
518,Balparmak Kestane Balı,Kestane Balı,Kahvaltılık Ürünler
519,Balparmak Süzme Çiçek Yayla Ve Ova Balı,,Kahvaltılık Ürünler
520,Balparmak Yayla Çiçek Balı,Süzme Çiçek Balı,Kahvaltılık Ürünler
521,Balparmak Yayla Çiçek Balı,Süzme Çiçek Balı,Kahvaltılık Ürünler
522,Balparmak Yayla Ve Ova Çiçek Balı,,Kahvaltılık Ürünler
523,Balparmak Yayla Ve Ova Çiçek Balı,Süzme Çiçek Balı,Kahvaltılık Ürünler
524,Balparmak Yüksek Yayla Çiçek Balı,Süzme Çiçek Balı,Kahvaltılık Ürünler
525,Balparmak Yüksek Yayla Çiçek Balı,Süzme Çiçek Balı,Kahvaltılık Ürünler
526,Balsnack Deniz Tuzlu Patates Cipsi,,Atıştırmalık
527,Balsnack Ekşi Krema Soğan Patates Cipsi,,Atıştırmalık
528,Balsnack Peynir Soğan Patates Cipsi,,Atıştırmalık
529,Baltalı %100 Keçi Sütünden Büş,,Süt Ürünleri
530,Baltalı %100 Keçi Sütünden Kefir,"PASTÖRİZE KEÇİ SÜTÜ, SU, KEFİR KÜLTÜRÜ, PROBİYOTİK MİKROORGANİZMALAR",İçecekler
531,Baltalı %100 Keçi Sütünden Labneh,"Pastörize Keçi sütü(%100, Tuz, Yoğurt Kültürü",Süt Ürünleri
532,Baltalı Seferihisar Keçi Peyniri,"Pastörize Keçi Sütü %100, Tuz, Peynir Mayası Ve Peynir Kültürü",Süt Ürünleri
533,Bamba Bar Organik Fındık İncir,,Sağlıklı Yaşam
534,Bamba Bar Organik Fındık Kakao,,Sağlıklı Yaşam
535,Banvit Bi'Dilim Piliç Salam,"Piliç Eti Ve Yağı, Su, Nişasta, Bitkisel Lif(selüloz, Tuz, Baharat Karışımı, Yumurta Akı, Kıvam Arttırıcı(karrogenan, Ksantan Gam, Dekstroz, Koruyucu(sodyum Laktat, Sodyum Asetat, Sodyum Eritorbat, Tütsü Aroma Verici, Renklendirici(karmin","Et, Tavuk, Balık"
536,Banvit Bonfile Göğüs Kg,,"Et, Tavuk, Balık"
537,Banvit But Pirzola Kg,,"Et, Tavuk, Balık"
538,Banvit Bütün Piliç Kg,,"Et, Tavuk, Balık"
539,Banvit Bütün Piliç XL Kg,,"Et, Tavuk, Balık"
540,Banvit Çıtır Piliç Kanat,,"Et, Tavuk, Balık"
541,Banvit Çıtır Piliç Küpleri,,"Et, Tavuk, Balık"
542,Banvit Çıtır Piliç Parmak,,"Et, Tavuk, Balık"
543,Banvit Izgara Tava Kg,,"Et, Tavuk, Balık"
544,BanvitSosis 4'lü,"Piliç Eti Ve Yağı, Su, Dana Yağı, Nişasta, Tuz, Yumurta Akı, Baharat Karışımı, Hardal, Şeker, Baharat Ekstratları, Stabilizör(sodyum Polifosfat, Antioksidan(sodyum Eritorbat, Kıvam Arttırıcı(karragenan, Koruyucu(sodyum Nitrit, Tütsü Aroma Vericis","Et, Tavuk, Balık"
545,Banvit Kalçalı But Kg,,"Et, Tavuk, Balık"
546,Banvit Kokteyl Sosis Kg,"Piliç Eti Ve Yağı, Mekanik Ayrılmış Piliç Eti, Su, Nişasta, Bitkisel Lif(selüloz, Baharat Karışımı, Tuz, Yumurta Akı, Dekstroz, Kıvam Arttırıcı(karragenan, Ksantan Gam, Koruyucu Madde(sodyum Laktat, Sodyum Asetat, Sodyum Nitrit, Stabilizör(sodyum P","Et, Tavuk, Balık"
547,Banvit Piliç Baget Kg,,"Et, Tavuk, Balık"
548,Banvit Piliç Baton Salam,"Piliç Eti Ve Yağı, Mekanik Ayrılmış Piliç Eti, Su, Nişasta, Bitkisel Lif (selüloz, Baharat Karışımı, Tuz, Soya Proteini, Koruyucu (sodyum Laktat, Sodyum Asetat, Sodyum Nitrit, Stabilizör (sodyum Polifosfat, Antioksidan (sodyum Eritorbat","Et, Tavuk, Balık"
